id,name,template,reference,icon_path
344,vnd.acucobol,application/vnd-acucobol,[Dovid_Lubin],NULL
345,vnd.acucorp,application/vnd.acucorp,[Dovid_Lubin],NULL
346,vnd.adobe.flash.movie,application/vnd.adobe.flash-movie,[Henrik_Andersson],NULL
347,vnd.adobe.formscentral.fcdt,application/vnd.adobe.formscentral.fcdt,[Chris_Solc],NULL
348,vnd.adobe.fxp,application/vnd.adobe.fxp,[Robert_Brambley][Steven_Heintz],NULL
349,vnd.adobe.partial-upload,application/vnd.adobe.partial-upload,[Tapani_Otala],NULL
350,vnd.adobe.xdp+xml,application/vnd.adobe.xdp+xml,[John_Brinkman],NULL
351,vnd.adobe.xfdf,application/vnd.adobe.xfdf,[Roberto_Perelman],NULL
352,vnd.aether.imp,application/vnd.aether.imp,[Jay_Moskowitz],NULL
353,vnd.ah-barcode,application/vnd.ah-barcode,[Katsuhiko_Ichinose],NULL
354,vnd.ahead.space,application/vnd.ahead.space,[Tor_Kristensen],NULL
355,vnd.airzip.filesecure.azf,application/vnd.airzip.filesecure.azf,[Daniel_Mould][Gary_Clueit],NULL
356,vnd.airzip.filesecure.azs,application/vnd.airzip.filesecure.azs,[Daniel_Mould][Gary_Clueit],NULL
357,vnd.amazon.mobi8-ebook,application/vnd.amazon.mobi8-ebook,[Kim_Scarborough],NULL
358,vnd.americandynamics.acc,application/vnd.americandynamics.acc,[Gary_Sands],NULL
359,vnd.amiga.ami,application/vnd.amiga.ami,[Kevin_Blumberg],NULL
360,vnd.amundsen.maze+xml,application/vnd.amundsen.maze+xml,[Mike_Amundsen],NULL
361,vnd.anki,application/vnd.anki,[Kerrick_Staley],NULL
362,vnd.anser-web-certificate-issue-initiation,application/vnd.anser-web-certificate-issue-initiation,[Hiroyoshi_Mori],NULL
363,vnd.antix.game-component,application/vnd.antix.game-component,[Daniel_Shelton],NULL
364,vnd.apache.thrift.binary,application/vnd.apache.thrift.binary,[Roger_Meier],NULL
365,vnd.apache.thrift.compact,application/vnd.apache.thrift.compact,[Roger_Meier],NULL
366,vnd.apache.thrift.json,application/vnd.apache.thrift.json,[Roger_Meier],NULL
367,vnd.api+json,application/vnd.api+json,[Steve_Klabnik],NULL
368,vnd.apple.mpegurl,application/vnd.apple.mpegurl,[David_Singer][Roger_Pantos],NULL
369,vnd.apple.installer+xml,application/vnd.apple.installer+xml,[Peter_Bierman],NULL
370,"vnd.arastra.swi - OBSOLETED in favor of application/vnd.aristanetworks.swi",application/vnd.arastra.swi,[Bill_Fenner],NULL
371,vnd.aristanetworks.swi,application/vnd.aristanetworks.swi,[Bill_Fenner],NULL
372,vnd.artsquare,application/vnd.artsquare,[Christopher_Smith],NULL
373,vnd.astraea-software.iota,application/vnd.astraea-software.iota,[Christopher_Snazell],NULL
374,vnd.audiograph,application/vnd.audiograph,[Horia_Cristian_Slusanschi],NULL
375,vnd.autopackage,application/vnd.autopackage,[Mike_Hearn],NULL
376,vnd.avistar+xml,application/vnd.avistar+xml,[Vladimir_Vysotsky],NULL
377,vnd.balsamiq.bmml+xml,application/vnd.balsamiq.bmml+xml,[Giacomo_Guilizzoni],NULL
378,vnd.balsamiq.bmpr,application/vnd.balsamiq.bmpr,[Giacomo_Guilizzoni],NULL
379,vnd.bekitzur-stech+json,application/vnd.bekitzur-stech+json,[Jegulsky],NULL
380,vnd.biopax.rdf+xml,application/vnd.biopax.rdf+xml,[Pathway_Commons],NULL
381,vnd.blueice.multipass,application/vnd.blueice.multipass,[Thomas_Holmstrom],NULL
382,vnd.bluetooth.ep.oob,application/vnd.bluetooth.ep.oob,[Mike_Foley],NULL
383,vnd.bluetooth.le.oob,application/vnd.bluetooth.le.oob,[Mark_Powell],NULL
384,vnd.bmi,application/vnd.bmi,[Tadashi_Gotoh],NULL
385,vnd.businessobjects,application/vnd.businessobjects,[Philippe_Imoucha],NULL
386,vnd.cab-jscript,application/vnd.cab-jscript,[Joerg_Falkenberg],NULL
387,vnd.canon-cpdl,application/vnd.canon-cpdl,[Shin_Muto],NULL
388,vnd.canon-lips,application/vnd.canon-lips,[Shin_Muto],NULL
389,vnd.cendio.thinlinc.clientconf,application/vnd.cendio.thinlinc.clientconf,[Peter_Astrand],NULL
390,vnd.century-systems.tcp_stream,application/vnd.century-systems.tcp_stream,[Shuji_Fujii],NULL
